许继电气 (000400) EPS:0.3 safe_price:3.448275861 close:13.35 open:13.27
冀东水泥 (000401) EPS:0.24 safe_price:2.7586206887999998 close:13.79 open:13.92
金融街 (000402) EPS:0.48 safe_price:5.5172413775999996 close:10.66 open:10.63
ST生化 (000403) EPS:0.22 safe_price:2.5287356314 close:31.61 open:31.59
华意压缩 (000404) EPS:0.19 safe_price:2.1839080453 close:6.43 open:6.39
胜利股份 (000407) EPS:0.09 safe_price:1.0344827583 close:7.47 open:7.45
藏格控股 (000408) EPS:0.33 safe_price:3.7931034471000005 close:18.09 open:17.66
山东地矿 (000409) EPS:-0.25 safe_price:-2.8735632175 close:5.85 open:5.81
*ST沈机 (000410) EPS:-1.02 safe_price:-11.724137927400001 close:10.25 open:9.85
英特集团 (000411) EPS:0.29 safe_price:3.3333333323 close:20.68 open:20.7
东旭光电 (000413) EPS:0.21 safe_price:2.4137931027 close:9.58 open:9.59
渤海金控 (000415) EPS:0.3 safe_price:3.448275861 close:5.77 open:5.75
民生控股 (000416) EPS:0.05 safe_price:0.5747126435000001 close:7.4 open:7.41
合肥百货 (000417) EPS:0.32 safe_price:3.6781609184 close:8.18 open:8.25
小天鹅A (000418) EPS:1.81 safe_price:20.8045976947 close:65.3 open:65.63
通程控股 (000419) EPS:0.17 safe_price:1.9540229879000002 close:6.03 open:6.02
吉林化纤 (000420) EPS:0.04 safe_price:0.4597701148 close:3.14 open:3.13
南京公用 (000421) EPS:0.16 safe_price:1.8390804592 close:6.16 open:6.12
湖北宜化 (000422) EPS:-1.44 safe_price:-16.5517241328 close:4.12 open:4.09
东阿阿胶 (000423) EPS:1.91 safe_price:21.9540229817 close:60.21 open:60.28
徐工机械 (000425) EPS:0.11 safe_price:1.2643678157 close:4.12 open:4.1
兴业矿业 (000426) EPS:0.21 safe_price:2.4137931027 close:9.7 open:9.8
华天酒店 (000428) EPS:-0.15 safe_price:-1.7241379305 close:4.11 open:4.1
粤高速A (000429) EPS:0.61 safe_price:7.0114942507 close:7.96 open:7.83
张家界 (000430) EPS:0.2 safe_price:2.2988505740000003 close:8.7 open:8.65
晨鸣纸业 (000488) EPS:1.16 safe_price:13.3333333292 close:16.34 open:15.88
山东路桥 (000498) EPS:0.37 safe_price:4.2528735619 close:6.44 open:6.4
